"","document","term","count",".topic"
"70","795","unterrichtsstund",2,37
"71","1130","assessment",1,36
"72","1130","bemuh",1,1
"73","1130","digital",3,28
"74","1130","for",2,24
"75","1130","inklusiv",4,1
"76","1130","lernsetting",1,1
"77","1130","medi",2,28
"78","1130","nos",1,24
"79","1130","prinzipi",1,1
"80","1130","quasi",1,1
"81","1130","realisier",1,28
"82","1130","schulergrupp",1,1
"83","1130","udl",1,24
"84","1130","universal",2,24
"85","1130","zufall",1,14
"86","208","analysemethod",1,3
"87","208","bundesweit",1,3
"88","208","kennenlern",1,3
"89","208","netzwerk",4,3
"90","208","physikbezog",1,22
"91","208","teilch",2,3
"92","208","teilchenphys",1,3
"93","208","teilchenwelt",2,3
"94","208","wissenschaftl",1,3
"95","1004","ansatzpunkt",1,29
"96","1004","aufgabenstell",2,5
"97","1004","gedank",1,29
"98","1004","handlung",3,10
"99","1004","materiali",1,16
"100","1004","ort",1,19
"101","1004","praktikum",1,19
"102","1004","schnittstell",1,16
"103","1004","schulphys",1,16
"104","700","bedurfnis",1,11
"105","700","entwickelnd",1,17
"106","700","forschend",1,25
"107","700","laborstudi",1,10
"108","700","ryan",1,12
"109","700","sequenz",2,24
"110","700","unterrichtsein",1,27
"111","700","unterrichtsverfahr",1,35
"112","700","vorgab",1,25
"113","1100","diesbezug",1,36
"114","1100","einh",1,36
"115","1100","thuring",2,29
"116","1100","weiterbild",5,36
"117","1431","gelehrt",1,17
"118","1431","los",1,13
"119","1431","mathemat",1,13
"120","1431","notig",1,13
"121","1431","physikstudium",2,30
"122","1431","pilot",1,13
"123","1431","problemlos",1,13
"124","1431","problemlosefah",2,29
"125","1431","ressourc",1,17
"126","390","aufnahm",1,25
"127","390","begabt",1,2
"128","390","einstieg",1,25
"129","390","fachkraftemangel",1,25
"130","390","fehlerhaft",1,18
"131","390","gestieg",1,25
"132","390","kommunikativ",1,25
"133","390","mint",2,7
"134","390","schulergrupp",1,25
"135","390","sfb",1,25
"136","390","sonderforschungsbereich",1,25
"137","390","station",2,25
"138","390","steigend",1,25
"139","390","viert",1,25
"140","390","wissenschaftl",1,18
"141","705","dawis",1,37
"142","705","erklar",2,32
"143","705","ewis",1,37
"144","705","facett",1,37
"145","705","mathemat",1,13
"146","705","performanz",2,37
"147","705","professionswiss",1,37
"148","705","profil",2,37
"149","705","testverfahr",2,37
"150","705","unterrichtsbezog",1,37
"151","705","unterzog",1,37
"152","705","validierungsstudi",1,37
"153","1436","durchaus",1,26
"154","1436","handlung",1,32
"155","1436","identifizier",1,26
"156","1436","instruktion",7,26
"157","1436","kodiermanual",1,26
"158","1436","kodiert",1,26
"159","1436","kompetenzerwerb",1,26
"160","1436","mundlich",1,32
"161","1494","einfach",1,26
"162","1494","elektr",1,26
"163","1494","elektrizitatslehr",2,26
"164","1494","forschungsdesign",1,26
"165","1494","frankfurt",1,26
"166","1494","gesamtprojekt",1,26
"167","1494","konzeptuell",1,26
"168","1494","prototyp",1,26
"169","1494","stromkreis",1,26
"170","1494","zuletzt",1,26
"171","181","basiskonzept",1,27
"172","181","bedeutet",1,27
"173","181","effektivitat",2,27
"174","181","forderein",1,27
"175","181","reaktion",1,27
"176","181","selbsteinschatzungsbog",3,27
"177","181","selbstgesteuert",1,27
"178","181","selbstreguliert",1,27
"179","722","kil",1,6
"180","722","kur",1,6
"181","722","labor",3,6
"182","722","pck",3,6
"183","722","physikdidakt",2,33
"184","722","praxisbezug",1,6
"185","722","seminar",2,6
"186","722","sommersem",1,6
"187","722","station",2,6
"188","722","unterteilt",1,6
"189","849","eckfall",1,17
"190","849","effektiv",1,17
"191","849","erschein",1,17
"192","849","hotteck",2,17
"193","849","implizit",1,17
"194","849","jahrestag",1,17
"195","849","nos",3,24
"196","849","orientierungsrahm",2,17
"197","849","schulerperspektiv",3,17
"198","849","sprech",1,17
"199","849","tiefenstruktur",1,17
"200","849","ubergreif",1,17
"201","849","unerlass",1,17
"202","849","wandel",1,17
"203","1376","erklar",4,32
"204","1376","forschungsdesiderat",1,32
"205","1376","integrativ",1,32
"206","1376","mundlich",2,32
"207","1376","operator",1,32
"208","1376","sachunterricht",1,7
"209","1376","sachverhalt",1,32
"210","1376","veranker",1,32
"211","212","aufgabenschwier",1,31
"212","212","diagnostizi",1,20
"213","212","esnas",2,36
"214","212","kompetenzstrukturmodell",1,33
"215","212","korreliert",1,36
"216","212","modellbasiert",1,36
"217","212","personenfah",1,37
"218","212","rasch",1,33
"219","212","schulnot",1,36
"220","212","sek",3,16
"221","212","semest",1,30
"222","212","studienbeginn",1,30
"223","212","studieneingangsphas",3,30
"224","212","teilstichprob",1,37
"225","1504","begunst",1,20
"226","1504","fallstudi",2,2
"227","1504","fehlvorstell",1,26
"228","1504","mast",1,12
"229","1504","mechan",1,16
"230","1504","mechanikunterricht",1,16
"231","1504","osterreich",1,20
"232","1504","pck",1,25
"233","1438","facett",3,36
"234","1438","forschungsbasiert",1,21
"235","1438","handlung",1,10
"236","1438","kodiermanual",1,24
"237","1438","kompetenzorientier",2,15
"238","1438","kompetenzorientiert",1,6
"239","1438","orientier",1,21
"240","1438","prozessorientiert",1,5
"241","1438","rating",1,24
"242","1438","reflexion",1,24
"243","1438","stund",1,24
"244","1438","teilkompetenz",1,15
"245","128","besitz",1,6
"246","128","bildungsreform",1,6
"247","128","forschungsluck",1,6
"248","128","genug",1,6
"249","128","gewicht",2,6
"250","128","kluft",1,6
"251","128","kompetenzorientiert",4,6
"252","128","unterrichtsvorbereit",1,6
"253","777","eckfall",1,17
"254","777","eingeh",1,17
"255","777","hotteck",1,17
"256","777","jahrestag",1,17
"257","777","orientier",1,17
"258","777","orientierungsrahm",1,17
"259","777","polit",1,17
"260","777","tiefenstruktur",1,17
"261","777","urteil",2,17
"262","777","vignett",1,17
"263","590","abweich",1,26
"264","590","alt",1,26
"265","590","einfach",1,26
"266","590","elaboriert",1,5
"267","590","falsch",1,5
"268","590","hilfestell",1,5
"269","590","hurd",1,12
"270","590","lehrbuch",1,35
"271","590","reduzi",1,5
"272","590","stolperstein",1,12
"273","590","strategi",1,5
"274","590","verstehensprozess",1,12
"275","590","zustand",1,5
"276","1372","bericht",1,20
"277","1372","evidenz",1,10
"278","1372","expertenrating",1,20
"279","1372","fruhjahr",1,15
"280","1372","messbar",1,19
"281","1372","okolog",1,11
"282","1372","pck",1,25
"283","1372","unterzog",1,19
"284","1372","validitat",1,15
"285","1372","videovignett",1,10
"286","674","beweg",2,16
"287","674","bspw",1,11
"288","674","digital",4,28
"289","674","eingeschrankt",1,11
"290","674","elektr",1,26
"291","674","elektron",2,11
"292","674","experimentierprozess",1,28
"293","674","feedback",1,4
"294","674","feld",2,26
"295","674","geleg",1,22
"296","674","gerat",1,16
"297","674","gestuft",1,11
"298","674","magnet",1,26
"299","674","schulerexperiment",1,6
"300","674","strukturi",1,4
"301","1262","erstsemesterstudier",1,30
"302","1262","geseh",1,30
"303","1262","getroff",1,30
"304","1262","heublein",1,30
"305","1262","medizin",1,11
"306","1262","pradiktor",1,30
"307","1262","stabil",1,36
"308","1262","studienabbruchquot",1,27
"309","1262","studieneingangsphas",2,30
"310","1114","ander",2,34
"311","1114","energi",1,34
"312","1114","freihandexperiment",1,24
"313","1114","gerichtet",1,1
"314","1114","kraft",3,34
"315","1114","mechan",1,24
"316","1114","prinzip",1,1
"317","1114","richtung",1,34
"318","1114","warum",1,17
"319","1222","aktivi",1,28
"320","1222","erweit",1,23
"321","1222","feedback",1,4
"322","1222","interaktiv",2,28
"323","1222","multimedia",2,28
"324","1222","multimedial",1,28
"325","1222","repertoir",1,28
"326","1222","reprasentationsform",1,23
"327","1222","sachverhalt",1,32
"328","1222","unterrichtsein",1,27
"329","1222","web",1,23
"330","584","anstreng",1,4
"331","584","feedback",3,4
"332","584","kurzvortrag",1,4
"333","584","physikpraktika",1,4
"334","584","physikpraktikum",1,4
"335","584","praktikum",2,4
"336","584","ruckmeld",1,4
"337","584","strukturi",1,4
"338","584","student",2,4
"339","584","tutor",3,4
"340","584","unternomm",1,4
"341","1029","madch",4,3
"342","10","formulier",1,20
"343","10","hypothes",1,19
"344","10","niedrig",1,34
"345","10","prozessorientiert",1,5
"346","10","reflexion",1,19
"347","10","ubergang",1,12
"348","1252","belast",1,31
"349","1252","bspw",2,11
"350","1252","cognitiv",2,31
"351","1252","kontextualisier",2,31
"352","1252","lernaufgab",1,28
"353","1252","load",2,31
"354","1252","may",1,31
"355","1252","situational",2,31
"356","1252","text",3,18
"357","15","anleit",1,11
"358","15","bedurfnis",4,11
"359","15","deci",1,12
"360","15","motiviert",1,21
"361","15","ryan",1,12
"362","15","selbstbestimmungstheori",1,12
"363","15","wann",1,11
"364","15","zielsetz",1,11
"365","314","aufschluss",1,22
"366","314","physikbezog",5,22
"367","314","situational",2,22
"368","314","zukommt",1,22
"369","314","zuruckgeh",1,22
"370","1363","basiskonzept",1,26
"371","1363","chemielehrkraft",3,37
"372","1363","energi",2,34
"373","1363","energiekonzept",2,34
"374","1363","energieverstandnis",1,34
"375","1363","institut",1,34
"376","1363","mittl",1,7
"377","1363","schulabschluss",1,7
"378","1363","sprachlich",1,20
"379","1363","strom",1,34
"380","1363","warm",1,16
"381","916","aufbereitet",1,35
"382","916","integrativ",1,35
"383","916","kategori",1,37
"384","916","naturwissenschaftslehr",1,22
"385","916","promotionsvorhab",1,35
"386","916","thuring",1,29
"387","569","charakterisiert",2,21
"388","569","entwickelnd",1,17
"389","569","forschend",1,25
"390","569","lernphas",1,27
"391","569","sequenz",1,24
"392","569","unterrichtsein",1,27
"393","569","unterrichtsverfahr",1,35
"394","569","verfahr",1,18
"395","651","algebra",1,21
"396","651","funktional",2,18
"397","651","graphisch",1,18
"398","651","laborstudi",1,18
"399","651","los",1,13
"400","651","mathemat",3,13
"401","651","partnerarbeit",1,18
"402","651","problemaufgab",2,18
"403","651","reprasentation",1,18
"404","651","strategi",2,5
"405","651","ubersetz",1,18
"406","59","einordn",1,6
"407","59","extern",1,6
"408","59","kategori",2,37
"409","59","konstruktivist",1,22
"410","59","partn",1,6
"411","59","seminar",9,6
"412","1461","bestmog",1,19
"413","1461","chemiebezog",1,19
"414","1461","dargebot",1,19
"415","1461","entschied",1,19
"416","1461","erhielt",1,19
"417","1461","evidenzbasiert",1,35
"418","1461","eye",1,35
"419","1461","forschungsbasiert",1,19
"420","1461","gebiet",1,19
"421","1461","impuls",1,19
"422","1461","kognitionspsycholog",2,19
"423","1461","modul",1,27
"424","1461","motiviert",1,21
"425","1461","reflexion",1,19
"426","1461","teilgenomm",1,19
"427","1461","theoriebasiert",1,19
"428","1461","unterrichtsprozess",1,19
"429","644","bemuh",1,37
"430","644","development",1,9
"431","644","education",1,12
"432","644","europa",1,9
"433","644","gesprach",1,22
"434","644","impuls",1,9
"435","644","institution",1,9
"436","644","interessiert",1,29
"437","644","kolleginn",1,9
"438","644","mocht",1,29
"439","644","professional",2,9
"440","644","profil",5,37
"441","644","stakehold",1,37
"442","644","student",1,9
"443","644","teach",2,12
"444","1433","abschluss",1,15
"445","1433","betreff",1,15
"446","1433","chemielehrerinn",1,15
"447","1433","forschend",4,25
"448","1433","fortbild",3,15
"449","1433","gegenubergestellt",1,15
"450","1433","gesetz",1,15
"451","1433","gruppendiskussion",1,25
"452","1433","kompetenzorientier",1,15
"453","1433","nahezu",1,15
"454","1433","osterreich",2,20
"455","1433","reduzi",1,15
"456","1433","reflexion",1,24
"457","1433","richtung",1,15
"458","1433","unsich",2,10
"459","1327","facett",1,36
"460","1327","gehalt",1,36
"461","1327","konstant",1,36
"462","1327","prinzip",1,1
"463","1327","variablenkontrollstrategi",1,36
"464","953","anstreng",1,31
"465","953","anzahl",1,31
"466","953","aufgabenschwier",4,31
"467","953","cognitiv",6,31
"468","953","feststell",1,31
"469","953","indikator",1,31
"470","953","johnston",1,31
"471","953","kontextorientier",1,31
"472","953","kuhn",1,31
"473","953","load",6,31
"474","953","mechan",1,31
"475","953","mental",1,31
"476","953","physikstudier",1,31
"477","953","sieb",1,31
"478","953","vorangegang",1,31
"479","1452","analog",2,8
"480","1452","cent",1,8
"481","1452","digital",3,28
"482","1452","endgerat",1,8
"483","1452","koharent",1,8
"484","1452","lernort",6,8
"485","1452","medi",4,28
"486","1452","schnittstell",2,8
"487","1452","schulerlabor",1,8
"488","1452","schulunterricht",1,8
"489","1452","status",1,8
"490","1452","tablet",1,16
"491","1452","werkzeug",1,28
"492","920","bereitschaft",1,35
"493","920","energi",1,34
"494","920","gesamtprojekt",1,30
"495","920","integrativ",1,35
"496","920","promotionsvorhab",1,35
"497","920","ubergreif",1,30
"498","920","vorarbeit",1,23
"499","497","angewendet",2,9
"500","497","experimentalgrupp",2,19
"501","497","haltung",2,3
"502","497","konventionell",1,9
"503","497","postt",2,9
"504","497","siebt",1,9
"505","497","technologi",1,29
"506","517","anzahl",1,31
"507","517","besuch",1,8
"508","517","gestieg",1,8
"509","517","kategorisier",1,18
"510","517","kiel",1,18
"511","517","kontinui",1,8
"512","517","lernort",1,8
"513","517","schulerlabor",3,8
"514","517","schulerlaborbesuch",1,8
"515","517","wissenschaftl",2,18
"516","592","abschluss",1,35
"517","592","adaptivitat",1,35
"518","592","akzeptanz",1,35
"519","592","anlag",1,35
"520","592","befind",1,35
"521","592","beweg",1,16
"522","592","bewegungsbeschreib",1,30
"523","592","entwicklungsprozess",1,35
"524","592","evidenzbasiert",1,35
"525","592","gewahrleist",1,35
"526","592","grafik",1,35
"527","592","integrativ",1,35
"528","592","lehrtext",1,35
"529","592","lernmaterial",1,35
"530","592","lernmateriali",2,35
"531","592","materiali",2,16
"532","592","promotionsvorhab",2,35
"533","592","schulerseit",1,35
"534","592","ubungsaufgab",1,35
"535","592","variant",1,35
"536","592","wissensbestand",1,35
"537","1165","erkenntnisprozess",1,19
"538","1165","mayring",1,19
"539","1165","modellexperiment",2,6
"540","1165","publikation",1,6
"541","1165","zielsetz",1,9
"542","1165","zusammenfass",1,9
"543","61","druck",1,11
"544","61","kontrastier",1,5
"545","61","sieb",1,23
"546","61","strategi",2,5
"547","61","stund",1,25
"548","61","tesch",1,23
"549","61","tiefenstruktur",1,25
"550","61","unterrichtsgang",1,23
"551","61","verfahr",1,18
"552","1111","atombau",1,36
"553","1111","binnendifferenzier",2,36
"554","1111","chemielehrkraft",1,37
"555","1111","differenzier",1,36
"556","1111","effektivitat",1,27
"557","1111","lernleit",3,36
"558","1111","schulerleist",1,37
"559","1111","schulervariabl",1,36
"560","1002","ausmass",1,33
"561","1002","festgelegt",1,33
"562","1002","gefilmt",1,33
"563","1002","gelost",1,33
"564","1002","kodiert",1,33
"565","1002","priori",1,33
"566","1002","problemlos",1,32
"567","1002","problemtyp",2,33
"568","1002","protokoll",1,4
"569","1002","protokolliert",1,33
"570","1002","sieh",1,33
"571","1002","testaufgab",2,33
"572","1002","validitat",1,15
"573","256","asthet",2,2
"574","256","datenauswert",1,2
"575","256","einbezieht",1,2
"576","256","fallstudi",2,2
"577","256","gerichtet",3,2
"578","256","kind",4,2
"579","256","kunstler",1,2
"580","256","lebenslag",2,2
"581","256","lernweg",1,2
"582","256","zielgerichtet",1,2
"583","256","zugeschnitt",1,2
"584","387","akzeptanz",1,4
"585","387","akzeptiert",1,4
"586","387","best",1,4
"587","387","bildungsplan",1,4
"588","387","erfull",1,4
"589","387","schulunterricht",1,8
"590","760","berufsorientier",4,5
"591","760","chem",1,5
"592","760","education",2,12
"593","760","eilk",1,29
"594","760","fachkraftemangel",1,5
"595","760","for",1,24
"596","760","imag",1,5
"597","760","lernort",2,8
"598","760","polit",1,5
"599","760","the",2,29
"600","997","ausgegang",1,10
"601","997","bewertungskompetenz",1,19
"602","997","erfahrungsbasiert",2,34
"603","997","getroff",1,17
"604","997","implizit",2,17
"605","997","unbewusst",1,34
"606","997","urteil",1,17
"607","1457","argumenti",3,25
"608","1457","evidenz",1,10
"609","1457","konzeptualisier",1,25
"610","1457","pck",4,25
"611","1457","schlussfolger",1,25
"612","1457","stutz",1,25
"613","1457","validitat",1,15
"614","1457","verfahr",1,18
"615","1457","zwolf",1,25
"616","1122","delphi",1,5
"617","1122","elementarteilchenphys",1,9
"618","1122","koharent",1,32
"619","1122","koharenz",1,32
"620","1122","konzeptualisier",1,32
"621","1122","konzeptuell",1,32
"622","1122","konzipi",1,25
"623","1122","offentlichkeitsarbeit",1,25
"624","1122","physiklehr",1,3
"625","1122","professionswiss",2,37
"626","1122","teilchenphys",1,3
"627","1122","vernetz",1,1
"628","833","ausbildungsphas",1,7
"629","833","entwicklungsverlauf",1,7
"630","833","mitt",1,7
"631","833","reflexion",3,24
"632","833","sachunterricht",3,7
"633","833","teilbereich",1,23
"634","833","vorbereitungsdien",2,7
"635","833","wann",1,7
"636","1507","einfach",1,13
"637","1507","gefilmt",1,13
"638","1507","kluft",1,13
"639","1507","mathemat",5,13
"640","1507","mechan",1,13
"641","1507","mechanikunterricht",2,13
"642","1507","modellbild",4,13
"643","1507","notig",1,13
"644","1507","programm",1,13
"645","1507","reduzi",1,13
"646","282","anzahl",1,31
"647","282","modelli",1,13
"648","282","personal",1,14
"649","282","physiklern",1,10
"650","282","pradiktor",2,30
"651","282","sachunterricht",3,7
"652","400","experimentalgrupp",1,10
"653","400","gebildet",1,10
"654","400","postt",1,10
"655","400","primarstuf",3,10
"656","400","real",1,10
"657","400","sachunterricht",1,7
"658","400","selbsterklar",5,10
"659","400","testung",1,10
"660","400","text",2,18
"661","400","wirkungsvoll",1,10
"662","1218","arbeitsphas",1,16
"663","1218","digital",2,28
"664","1218","einsatzmog",1,16
"665","1218","herz",1,28
"666","1218","klassenzimm",2,16
"667","1218","portfolios",1,16
"668","1218","prasentation",1,16
"669","1218","schulung",2,16
"670","1218","seminar",1,6
"671","1218","tablet",3,16
"672","1017","alltagsnah",1,27
"673","1017","beweg",1,16
"674","1017","energi",2,34
"675","1017","energiekonzept",1,34
"676","1017","grundkonzept",1,17
"677","1017","kind",2,2
"678","1017","prakonzept",2,26
"679","1017","warm",1,16
"680","355","bewegungsbeschreib",2,30
"681","355","erweit",1,30
"682","355","kompetenzaufbau",1,30
"683","355","lernmateriali",3,30
"684","355","physikschulbuch",1,30
"685","355","schulbuch",5,30
"686","355","status",1,30
"687","66","kompetenzentwickl",1,33
"688","66","lehrperson",1,25
"689","66","leitend",1,35
"690","66","onlin",1,3
"691","66","professionswiss",3,37
"692","66","tatig",1,25
"693","66","unterrichtsplan",5,35
"694","207","berufsorientier",1,5
"695","207","entdeck",2,25
"696","207","forschend",1,25
"697","207","kontakt",1,25
"698","207","planspiel",1,8
"699","207","sonderforschungsbereich",1,25
"700","207","tag",3,8
"701","207","vorbereitet",1,25
"702","319","beispielhaft",1,22
"703","319","cat",1,22
"704","319","datenquell",1,22
"705","319","fachbezog",1,22
"706","319","fortbild",1,15
"707","319","geleg",2,22
"708","319","gesprach",2,22
"709","319","informell",3,22
"710","319","initiiert",1,22
"711","319","kennenlern",1,22
"712","319","kommunikation",2,22
"713","319","lehrerfortbild",3,22
"714","319","naturwissenschaftslehr",2,22
"715","319","professionsbezog",1,22
"716","319","quell",1,22
"717","319","ressourc",1,22
"718","319","sichtbar",1,22
"719","319","strategi",1,5
"720","319","training",1,22
"721","702","aktionsforsch",1,27
"722","702","ander",1,34
"723","702","auss",1,34
"724","702","diversitat",1,1
"725","702","einhergeh",1,34
"726","702","kultur",3,34
"727","702","motiviert",1,34
"728","702","partizipativ",1,27
"729","702","sprach",4,34
"730","702","sprech",1,34
"731","702","unternomm",1,34
"732","702","verbindet",1,34
"733","702","verhalt",1,34
"734","292","assessment",1,36
"735","292","biolog",1,33
"736","292","exkonawi",1,33
"737","292","experimentieraufgab",1,33
"738","292","gelost",2,33
"739","292","kodier",1,33
"740","292","problemtyp",2,33
"741","292","protokolliert",1,33
"742","292","sieh",1,33
"743","1049","energi",3,34
"744","1049","energiebegriff",1,34
"745","1049","energieverstandnis",3,34
"746","1049","erfahrungsbasiert",1,34
"747","1049","gewahrleist",1,34
"748","1049","global",1,34
"749","1049","progression",1,23
"750","1049","reich",1,34
"751","1049","rekonstruiert",1,34
"752","1049","resultier",1,34
"753","1049","wissenschaftl",1,34
"754","16","effizient",1,22
"755","16","erhebungsmethod",1,22
"756","16","heterogenitat",1,20
"757","16","klassenfuhr",6,22
"758","16","physikbezog",3,22
"759","16","prasentation",1,22
"760","16","sachunterricht",1,7
"761","16","unterrichtsqualitat",1,24
"762","549","gebildet",1,3
"763","549","geschloss",1,3
"764","549","interessiert",1,3
"765","549","lederman",1,3
"766","549","onlin",1,3
"767","549","psychologi",1,3
"768","549","referendar",1,3
"769","549","ressourc",1,3
"770","549","urteil",1,3
"771","549","wissenschaftsverstandnis",4,3
"772","750","bildschirmexperiment",1,28
"773","750","eye",2,28
"774","750","generation",1,28
"775","750","interaktiv",3,28
"776","750","lab",1,28
"777","750","medi",1,28
"778","750","praktikum",1,28
"779","750","supported",1,28
"780","750","text",1,18
"781","750","tsl",1,28
"782","7","erkenntnismethod",1,29
"783","7","fokussier",1,25
"784","7","folger",1,29
"785","7","forschend",2,25
"786","7","kochbuchart",1,19
"787","7","logisch",1,32
"788","7","offen",1,29
"789","7","offnung",2,25
"790","7","sprach",1,32
"791","7","unterrichtsstund",1,25
"792","845","audiographiert",1,24
"793","845","mitt",1,7
"794","845","mundlich",1,32
"795","845","reflexion",6,24
"796","845","sachunterricht",1,7
"797","845","vorbereitungsdien",2,7
"798","231","analogi",1,34
"799","231","argumentation",1,34
"800","231","begrund",1,34
"801","231","folger",1,29
"802","231","insb",1,29
"803","231","konflikt",1,29
"804","231","model",1,29
"805","231","modelli",1,13
"806","231","priem",1,29
"807","231","real",2,10
"808","231","treagust",1,12
"809","231","wechseln",1,29
"810","523","angewendet",1,9
"811","523","anzuw",1,11
"812","523","auftrag",1,11
"813","523","elektrizitatslehr",1,26
"814","523","elektron",1,11
"815","523","erlernt",1,11
"816","523","fiktiv",1,11
"817","523","gebiet",1,9
"818","523","herzustell",1,11
"819","523","stehend",1,11
"820","523","zuruckgreif",1,11
"821","523","zusammenfass",1,9
"822","938","betont",1,34
"823","938","bildungsplan",1,7
"824","938","energi",1,34
"825","938","erklart",1,32
"826","938","kompetenzentwickl",2,33
"827","938","schulunterricht",1,8
"828","938","umzusetz",1,7
"829","1128","digital",1,28
"830","1128","diversitat",1,1
"831","1128","forschungsprozess",1,1
"832","1128","inklusion",1,1
"833","1128","inklusiv",5,1
"834","1128","lernmateriali",1,1
"835","1128","lernvoraussetz",1,1
"836","1128","medi",1,28
"837","1128","sachunterricht",1,7
"838","1128","tragt",1,1
"839","1128","wertschatz",1,1
"840","1128","zusammenfuhr",1,1
"841","817","argumentativ",1,25
"842","817","entwed",1,29
"843","817","explori",1,21
"844","817","herausgefund",1,21
"845","817","kind",2,2
"846","817","kindergart",1,17
"847","817","ubersetzt",1,9
"848","341","algebra",5,21
"849","341","elektromagnet",3,23
"850","341","geometr",1,21
"851","341","jahrhundert",1,21
"852","341","kontrastiert",1,21
"853","341","mathemat",1,13
"854","341","relativist",1,21
"855","341","sachverhalt",1,13
"856","341","tragt",1,21
"857","341","well",3,21
"858","341","zuruckgeh",1,21
"859","133","beschleunigungssensor",1,16
"860","133","empfang",1,16
"861","133","experimentiermittel",1,16
"862","133","extern",2,16
"863","133","gerat",2,16
"864","133","low",1,16
"865","133","messbar",1,16
"866","133","schulunterricht",1,16
"867","133","sensor",4,16
"868","133","smartphon",4,16
"869","127","einfach",1,13
"870","127","erzeugt",1,13
"871","127","gebrauch",2,13
"872","127","gefragt",1,13
"873","127","gegenubergestellt",1,13
"874","127","mathemat",1,13
"875","127","merzyn",1,13
"876","127","motiv",1,13
"877","127","schulfach",2,13
"878","127","selbstverstandnis",1,13
"879","127","sprachlich",1,20
"880","127","unbeliebt",1,13
"881","127","unbewusst",1,13
"882","442","entwicklungsforsch",1,12
"883","442","erlernbar",1,12
"884","442","hurd",1,12
"885","442","lerngegenstand",1,12
"886","442","lokal",1,12
"887","442","optimier",1,19
"888","442","real",1,10
"889","442","reduktion",1,12
"890","442","reprasentation",1,18
"891","442","sachverhalt",1,32
"892","442","stolperstein",2,12
"893","442","ubergang",1,12
"894","442","verstehensprozess",2,12
"895","965","authentizitat",1,16
"896","965","gefilmt",1,21
"897","965","kind",1,2
"898","965","materiali",1,16
"899","965","primarstuf",1,10
"900","965","vorgegeb",1,10
"901","965","zukommt",1,22
"902","4","authentizitat",1,22
"903","4","entdeck",2,25
"904","4","epistemolog",1,3
"905","4","forschend",2,25
"906","4","funktional",1,3
"907","4","naturwissenschaftl",1,28
"908","4","nos",1,24
"909","4","wissenschaftsforsch",1,22
"910","304","analog",1,8
"911","304","charakterisier",1,3
"912","304","diversitat",1,1
"913","304","physiklehr",3,3
"914","304","sinnstift",1,3
"915","304","wissenschaftsverstandnis",3,3
"916","1350","albrecht",1,30
"917","1350","beispielhaft",1,30
"918","1350","eventuell",1,17
"919","1350","heublein",1,30
"920","1350","pradiktor",1,30
"921","1350","studienabbruch",1,30
"922","1350","studieneingangsphas",3,30
"923","1350","studienerfolg",1,30
"924","1338","bundesweit",1,3
"925","1338","einschrank",1,1
"926","1338","einzusetz",1,1
"927","1338","fortbild",3,15
"928","1338","inklusiv",5,1
"929","1338","unterrichtsmethod",1,3
"930","1056","freihandexperiment",1,24
"931","1056","fremd",1,24
"932","1056","lehrerkompetenz",1,24
"933","1056","microteaching",2,24
"934","1056","physikspezif",1,24
"935","1056","praxisschock",2,14
"936","1056","seminar",1,6
"937","1056","swe",5,14
"938","1056","uactio",1,24
"939","1056","unterrichtsminiatur",1,24
